neg_id,src_idx,src_lat,src_lon,neg_lat,neg_lon,offset_m,img_path,img_download_ok,img_status_code,img_content_type,places_http_status,places_status,places_count_topk,poi_topk,map_strong_hits,map_soft_hits,stage1_decision,run_tag
0,170,41.8010206,-88.2937039,41.784003580988575,-88.28057338899626,2179.080805372032,negative_samples_random_offset_1500_5000m_1000/neg_0.jpg,True,200,image/png,200,OK,10,"[""Aurora | locality,political"", ""Baskin-Robbins | bakery,store,food,point_of_interest,establishment"", ""Walgreens | drugstore,convenience_store,clothing_store,store,health,food,point_of_interest,establishment"", ""Mobil | gas_station,point_of_interest,establishment"", ""Cosmos Family Dental, PC | dentist,health,point_of_interest,establishment"", ""Aries \""Jaybird\"" Gonzalez Child Center | primary_school,school,point_of_interest,establishment"", ""Western Union | finance,point_of_interest,establishment"", ""Old Second National Bank | bank,finance,point_of_interest,establishment"", ""Temco | point_of_interest,establishment"", ""McDonald's | cafe,store,restaurant,food,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
2,29,33.4237443,-84.15020059999999,33.45367842355089,-84.17429346842451,4002.775690722885,negative_samples_random_offset_1500_5000m_1000/neg_2.jpg,True,200,image/png,200,OK,3,"[""McDonough | locality,political"", ""South of Atlanta, mins from Tanger Outlet, Hospitals, Shopping Eateries. | lodging,point_of_interest,establishment"", ""Chef Dira | restaurant,food,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
3,67,41.7203455,-87.5885459,41.74034387520356,-87.61289975606988,2999.8068701870816,negative_samples_random_offset_1500_5000m_1000/neg_3.jpg,True,200,image/png,200,OK,10,"[""Chicago | locality,political"", ""Xerox Corporation | point_of_interest,establishment"", ""Nat King Cole Playground | point_of_interest,establishment"", ""St Mark Credit Union | finance,point_of_interest,establishment"", ""Cole (Nat King) Park | park,tourist_attraction,point_of_interest,establishment"", ""King Drive & 85th Street | transit_station,point_of_interest,establishment"", ""King Drive & 85th Street | transit_station,point_of_interest,establishment"", ""King Drive & 85th Street | transit_station,point_of_interest,establishment"", ""BrickBase Home Inspections | general_contractor,point_of_interest,establishment"", ""Cole (Nat King) Park Basketball Court 2 | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
4,135,41.6678167,-93.4991384,41.6928497221287,-93.5229950496456,3410.875329037857,negative_samples_random_offset_1500_5000m_1000/neg_4.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
5,150,42.5460182,-114.4098399,42.550021163922224,-114.37503566172578,2880.6785133188114,negative_samples_random_offset_1500_5000m_1000/neg_5.jpg,True,200,image/png,200,OK,2,"[""Kimberly | locality,political"", ""Western States Cat | car_repair,store,food,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
6,241,44.0744955,-87.6726066,44.06466260933296,-87.69376408883723,2009.4829790313968,negative_samples_random_offset_1500_5000m_1000/neg_6.jpg,True,200,image/png,200,OK,2,"[""Manitowoc | locality,political"", ""Right Look Home Inspections | point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
7,162,34.7278482,-82.38263529999999,34.73533414465704,-82.42171409536077,3660.608422501473,negative_samples_random_offset_1500_5000m_1000/neg_7.jpg,True,200,image/png,200,OK,1,"[""Golden Grove | locality,political""]",[],[],keep_after_map,dryrun_100
8,45,43.5561199,-89.4838588,43.54068947637016,-89.50988688385932,2705.0626093614105,negative_samples_random_offset_1500_5000m_1000/neg_8.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
9,192,33.0060672,-96.6850311,33.02613568935633,-96.68314833639386,2234.486026708006,negative_samples_random_offset_1500_5000m_1000/neg_9.jpg,True,200,image/png,200,OK,10,"[""Plano | locality,political"", ""Plano Mutual Cemetery | cemetery,point_of_interest,establishment"", ""Ted Dickey Funeral Home | funeral_home,point_of_interest,establishment"", ""Nova haus entertainment | point_of_interest,establishment"", ""Crosstown Engineering - Plano | point_of_interest,establishment"", ""Massage and Renew of East Plano | point_of_interest,establishment"", ""Phillips House Bakery | bakery,store,food,point_of_interest,establishment"", ""Jupiter at 18th - S - NS | transit_station,point_of_interest,establishment"", ""Fletcher construction | general_contractor,point_of_interest,establishment"", ""Willow Creek Park | park,tourist_attraction,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
10,188,36.7823281,-77.79693499999999,36.81339374986649,-77.83596433178556,4891.831114011919,negative_samples_random_offset_1500_5000m_1000/neg_10.jpg,True,200,image/png,200,ZERO_RESULTS,0,[],[],[],keep_after_map,dryrun_100
11,339,35.715278,-80.89020699999999,35.720792259486906,-80.84186347587405,4399.695900744282,negative_samples_random_offset_1500_5000m_1000/neg_11.jpg,True,200,image/png,200,OK,1,"[""Entire 3BR near Troutman and Statesville | lodging,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
12,311,44.2037656,-88.4817772,44.22242982968347,-88.50102016469667,2576.167631333741,negative_samples_random_offset_1500_5000m_1000/neg_12.jpg,True,200,image/png,200,OK,6,"[""Fox Crossing | locality,political"", ""St James Cocktail Lounge | night_club,bar,point_of_interest,establishment"", ""Pioneer Quick Lube and Wash-Neenah 40 | car_wash,car_repair,point_of_interest,establishment"", ""3-br 3 bath 3 miles to Appleton Airport, 15 min to EAA, 29 miles To NFL draft | lodging,point_of_interest,establishment"", ""Homestead Dental | dentist,health,point_of_interest,establishment"", ""Service Pro Quick Lube & Car Wash Service & Lube Center | car_repair,point_of_interest,establishment""]",[],[],keep_after_map,dryrun_100
